epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,17.0296,2.01927,2.22285,0.00986,0.45125,0.50075,0.47395,0.2031,1.92218,1.68774,0.01475,0.000331019,0.000331019,0.0672292
2,29.1072,1.85092,1.41093,0.00891,0.71086,0.52162,0.54067,0.25013,1.82036,1.42979,0.01326,0.00065613,0.00065613,0.0342209
3,41.0787,1.78785,1.27664,0.00852,0.52834,0.61302,0.56625,0.26922,1.82714,1.19814,0.01333,0.000972992,0.000972992,0.00120447
4,53.0818,1.74664,1.18111,0.00831,0.59947,0.65703,0.62596,0.28994,1.84653,1.32087,0.01349,0.000962875,0.000962875,0.000962875
5,65.2204,1.71632,1.15219,0.0081,0.60671,0.66639,0.62758,0.30174,1.78727,1.14719,0.01311,0.0009505,0.0009505,0.0009505
6,77.2493,1.68922,1.06993,0.00792,0.60451,0.62213,0.62135,0.29953,1.83119,1.15735,0.01363,0.000938125,0.000938125,0.000938125
7,89.3744,1.66439,1.01893,0.00777,0.59922,0.63232,0.61973,0.29406,1.90117,1.20474,0.01366,0.00092575,0.00092575,0.00092575
8,101.411,1.64054,0.99842,0.00779,0.60871,0.73651,0.65855,0.32837,1.78169,1.13452,0.01295,0.000913375,0.000913375,0.000913375
9,113.402,1.61526,0.94814,0.00744,0.61048,0.75006,0.68955,0.3644,1.7164,0.9825,0.01266,0.000901,0.000901,0.000901
10,125.461,1.59324,0.91821,0.00747,0.59325,0.73141,0.65319,0.33093,1.7618,1.1305,0.01259,0.000888625,0.000888625,0.000888625
11,137.521,1.56866,0.88893,0.00731,0.59095,0.71142,0.63137,0.30938,1.85525,1.23434,0.01329,0.00087625,0.00087625,0.00087625
12,149.558,1.56744,0.86981,0.00725,0.64533,0.71362,0.67403,0.34809,1.7237,0.98957,0.01242,0.000863875,0.000863875,0.000863875
13,161.59,1.54794,0.84392,0.00713,0.68633,0.66525,0.68288,0.34514,1.75366,1.06982,0.0127,0.0008515,0.0008515,0.0008515
14,173.693,1.5328,0.82041,0.00699,0.73593,0.75024,0.76602,0.40869,1.71216,0.96415,0.01227,0.000839125,0.000839125,0.000839125
15,185.743,1.51322,0.80322,0.0069,0.7011,0.73543,0.72632,0.39171,1.71,0.94519,0.01225,0.00082675,0.00082675,0.00082675
16,197.756,1.5008,0.78551,0.00691,0.69741,0.70601,0.70412,0.37446,1.76068,1.02765,0.01254,0.000814375,0.000814375,0.000814375
17,209.745,1.4839,0.7721,0.00679,0.63415,0.6945,0.69035,0.35692,1.73387,0.98329,0.01243,0.000802,0.000802,0.000802
18,221.756,1.47278,0.75984,0.00669,0.68162,0.74918,0.73423,0.39495,1.70609,0.93403,0.01217,0.000789625,0.000789625,0.000789625
19,233.805,1.45379,0.73366,0.00663,0.70791,0.70957,0.71196,0.37213,1.74037,1.01339,0.01241,0.00077725,0.00077725,0.00077725
20,245.777,1.43698,0.72184,0.00662,0.68779,0.74104,0.70589,0.37133,1.71579,1.00398,0.01225,0.000764875,0.000764875,0.000764875
21,257.792,1.43266,0.71094,0.0066,0.69033,0.7633,0.72878,0.38806,1.69985,0.9414,0.01209,0.0007525,0.0007525,0.0007525
22,269.877,1.41252,0.69909,0.00634,0.73055,0.74987,0.74564,0.3998,1.68568,0.94577,0.01196,0.000740125,0.000740125,0.000740125
23,281.877,1.40438,0.6756,0.00635,0.68941,0.76038,0.71232,0.38119,1.70297,0.94531,0.0121,0.00072775,0.00072775,0.00072775
24,293.897,1.39398,0.67438,0.0064,0.67182,0.71489,0.67309,0.35398,1.72548,1.03748,0.01218,0.000715375,0.000715375,0.000715375
25,305.896,1.37689,0.66993,0.00622,0.70234,0.72892,0.71558,0.38054,1.68525,1.00153,0.01191,0.000703,0.000703,0.000703
26,317.959,1.37424,0.66382,0.0062,0.65603,0.78279,0.72101,0.39478,1.6955,0.97494,0.01198,0.000690625,0.000690625,0.000690625
27,330.085,1.36705,0.65046,0.00624,0.68604,0.74588,0.70527,0.37651,1.70638,1.02583,0.01207,0.00067825,0.00067825,0.00067825
28,342.132,1.34843,0.62948,0.00611,0.68724,0.72034,0.70461,0.38059,1.70597,1.01676,0.01208,0.000665875,0.000665875,0.000665875
29,354.206,1.34443,0.63772,0.00605,0.67835,0.77422,0.73029,0.39295,1.72315,1.00731,0.01216,0.0006535,0.0006535,0.0006535
