epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,25.5161,1.53364,2.3342,2.15716,0.00547,1.91597,0.43942,0.48451,0.35182,0.18809,0.43984,0.48548,0.35494,0.17441,1.45144,2.19108,2.47078,0.00811,0,0.000331624,0.000331624,0.0671692
2,45.8487,1.39475,1.98483,1.5035,0.00489,0.85517,0.43564,0.49483,0.43645,0.26206,0.4335,0.49195,0.4311,0.24706,1.3581,2.03928,1.65775,0.00754,0,0.000656728,0.000656728,0.034161
3,66.1384,1.36041,1.93969,1.40002,0.00477,0.81177,0.56888,0.53068,0.52546,0.31852,0.56392,0.54583,0.52824,0.30892,1.30911,1.80753,1.4995,0.00716,0,0.000973583,0.000973583,0.00114452
4,86.4172,1.33906,1.88504,1.30472,0.0047,0.78406,0.49296,0.59179,0.53977,0.33341,0.49998,0.595,0.54146,0.33,1.25034,1.69295,1.26858,0.00685,0,0.000962875,0.000962875,0.000962875
5,106.547,1.29813,1.83388,1.24676,0.00447,0.75616,0.53774,0.62657,0.54303,0.34223,0.53614,0.6251,0.53735,0.32287,1.25935,1.80627,1.33408,0.00687,0,0.0009505,0.0009505,0.0009505
6,126.786,1.28963,1.80772,1.20991,0.00442,0.73233,0.50596,0.59454,0.50606,0.32097,0.49735,0.5925,0.49903,0.3036,1.22725,1.74622,1.34349,0.00657,0,0.000938125,0.000938125,0.000938125
7,147.046,1.26375,1.76734,1.17482,0.00435,0.70486,0.5604,0.58956,0.53061,0.33042,0.56467,0.58672,0.52655,0.3144,1.20661,1.77092,1.29654,0.0065,0,0.00092575,0.00092575,0.00092575
8,167.067,1.26133,1.75082,1.13959,0.00438,0.68496,0.57548,0.59063,0.572,0.37747,0.57274,0.59432,0.57355,0.35396,1.23232,1.70741,1.26292,0.00668,0,0.000913375,0.000913375,0.000913375
9,187.271,1.25543,1.73809,1.12615,0.00431,0.65152,0.53857,0.56992,0.5237,0.33479,0.53641,0.56808,0.51772,0.31899,1.24356,1.73832,1.35139,0.00683,0,0.000901,0.000901,0.000901
10,207.421,1.25029,1.70643,1.09021,0.00432,0.65179,0.55818,0.58382,0.54687,0.33567,0.56401,0.5868,0.55546,0.32446,1.23179,1.6906,1.28183,0.00672,0,0.000888625,0.000888625,0.000888625
11,228.244,1.24508,1.73279,1.08154,0.00426,0.62244,0.49113,0.58706,0.48888,0.30719,0.49559,0.58342,0.48671,0.27972,1.26565,1.75757,1.36067,0.00683,0,0.00087625,0.00087625,0.00087625
12,248.534,1.22287,1.69612,1.06372,0.0042,0.62147,0.53481,0.59016,0.53891,0.36227,0.53551,0.5999,0.54473,0.33753,1.15467,1.64484,1.24646,0.00608,0,0.000863875,0.000863875,0.000863875
13,268.667,1.22395,1.69334,1.0614,0.00419,0.59905,0.54301,0.58785,0.5338,0.34888,0.54692,0.58818,0.5353,0.32208,1.1897,1.70252,1.20534,0.0064,0,0.0008515,0.0008515,0.0008515
14,288.865,1.20471,1.67094,1.02667,0.00408,0.58874,0.57112,0.61442,0.56044,0.36739,0.57271,0.61597,0.55995,0.34464,1.19435,1.6637,1.1581,0.00641,0,0.000839125,0.000839125,0.000839125
15,309.165,1.20158,1.64957,1.00231,0.00402,0.56515,0.50531,0.62751,0.53798,0.35727,0.5051,0.62887,0.54285,0.33649,1.17296,1.65949,1.33817,0.00622,0,0.00082675,0.00082675,0.00082675
16,329.481,1.21253,1.66685,1.0214,0.00412,0.58308,0.51197,0.5986,0.55863,0.37042,0.52821,0.58884,0.56099,0.34403,1.17049,1.64489,1.23224,0.00621,0,0.000814375,0.000814375,0.000814375
17,349.656,1.19764,1.63926,0.97501,0.00406,0.54797,0.5544,0.62515,0.56198,0.36654,0.55776,0.63581,0.56241,0.34389,1.20833,1.6485,1.24756,0.00648,0,0.000802,0.000802,0.000802
18,369.792,1.18133,1.61823,0.95991,0.00399,0.53665,0.57408,0.62017,0.5787,0.38087,0.58094,0.62794,0.58111,0.35387,1.18196,1.66293,1.19649,0.00625,0,0.000789625,0.000789625,0.000789625
19,389.956,1.17411,1.62494,0.96896,0.00398,0.5307,0.59078,0.572,0.56022,0.37192,0.59342,0.58116,0.56738,0.35217,1.15953,1.60654,1.1826,0.00615,0,0.00077725,0.00077725,0.00077725
20,410.181,1.16762,1.60692,0.95276,0.00395,0.52694,0.54752,0.55446,0.53374,0.35218,0.55739,0.55403,0.53528,0.32657,1.17881,1.61497,1.23919,0.00624,0,0.000764875,0.000764875,0.000764875
21,430.447,1.17893,1.60602,0.94139,0.004,0.5408,0.56088,0.63331,0.58224,0.38048,0.56196,0.63236,0.57853,0.35426,1.18623,1.64594,1.1202,0.00628,0,0.0007525,0.0007525,0.0007525
22,450.7,1.16981,1.59788,0.92981,0.00394,0.52647,0.49407,0.6258,0.54676,0.36428,0.49321,0.62667,0.54684,0.33907,1.18357,1.67165,1.25846,0.00622,0,0.000740125,0.000740125,0.000740125
23,470.904,1.15913,1.58832,0.9116,0.00386,0.50707,0.56603,0.61942,0.55578,0.36686,0.56867,0.62322,0.55748,0.34596,1.18527,1.63578,1.25063,0.00626,0,0.00072775,0.00072775,0.00072775
24,491.268,1.14957,1.5785,0.90044,0.00386,0.50566,0.58417,0.61303,0.56537,0.37316,0.57628,0.60972,0.56194,0.3447,1.17311,1.64431,1.19278,0.00619,0,0.000715375,0.000715375,0.000715375
25,511.531,1.13675,1.5615,0.90089,0.00385,0.49408,0.53476,0.60145,0.54095,0.36212,0.53274,0.62017,0.54658,0.34125,1.15439,1.62482,1.21586,0.00605,0,0.000703,0.000703,0.000703
26,531.747,1.13069,1.55855,0.87502,0.00377,0.46987,0.53762,0.6048,0.5399,0.36207,0.54332,0.605,0.54055,0.33464,1.16907,1.64531,1.24048,0.00613,0,0.000690625,0.000690625,0.000690625
27,551.901,1.12837,1.5441,0.88483,0.0038,0.48492,0.60737,0.6015,0.58299,0.39159,0.61049,0.60904,0.59119,0.36718,1.14896,1.61894,1.22327,0.00608,0,0.00067825,0.00067825,0.00067825
28,572.16,1.11728,1.52245,0.84498,0.00375,0.44625,0.5744,0.62289,0.56863,0.3872,0.5912,0.62473,0.58062,0.36399,1.14635,1.61641,1.1926,0.00605,0,0.000665875,0.000665875,0.000665875
29,592.412,1.10705,1.53436,0.84571,0.0037,0.44831,0.60637,0.64701,0.58291,0.38633,0.6083,0.64905,0.58243,0.35519,1.15445,1.66322,1.20901,0.00608,0,0.0006535,0.0006535,0.0006535
30,612.575,1.10621,1.51719,0.83217,0.00366,0.43975,0.6285,0.64441,0.59713,0.3935,0.64046,0.62931,0.5993,0.37231,1.17898,1.62122,1.14196,0.00624,0,0.000641125,0.000641125,0.000641125
31,632.816,1.10619,1.5016,0.82967,0.00368,0.43339,0.5853,0.66051,0.58641,0.39756,0.58955,0.66199,0.58988,0.36938,1.14386,1.63568,1.20688,0.00595,0,0.00062875,0.00062875,0.00062875
32,653.059,1.0985,1.49479,0.80705,0.00364,0.42967,0.5725,0.64409,0.5842,0.39407,0.5719,0.64456,0.58897,0.37075,1.14118,1.61269,1.19813,0.00598,0,0.000616375,0.000616375,0.000616375
33,673.336,1.09253,1.50843,0.81241,0.00361,0.42575,0.62309,0.61311,0.57079,0.3882,0.61422,0.63587,0.57873,0.35525,1.16361,1.62861,1.18638,0.00611,0,0.000604,0.000604,0.000604
34,693.49,1.09034,1.49557,0.80012,0.0036,0.41908,0.61453,0.61879,0.58684,0.40157,0.63661,0.60587,0.58903,0.36969,1.13406,1.61896,1.1807,0.00594,0,0.000591625,0.000591625,0.000591625
35,713.7,1.08637,1.4865,0.78845,0.00355,0.40727,0.55339,0.65162,0.55863,0.37653,0.55189,0.6513,0.55901,0.34501,1.17362,1.67317,1.24966,0.00614,0,0.00057925,0.00057925,0.00057925
36,733.922,1.06045,1.45711,0.77998,0.00354,0.40626,0.61943,0.67434,0.61042,0.4092,0.62205,0.66982,0.60928,0.3771,1.13658,1.60995,1.13926,0.00594,0,0.000566875,0.000566875,0.000566875
37,754.168,1.06255,1.46061,0.76534,0.00349,0.38614,0.59628,0.62402,0.58143,0.39905,0.59439,0.62168,0.57945,0.36575,1.1251,1.63672,1.22132,0.00582,0,0.0005545,0.0005545,0.0005545
38,774.349,1.06665,1.45148,0.76304,0.00355,0.38916,0.55974,0.64055,0.57288,0.38896,0.5685,0.63251,0.5728,0.35467,1.13115,1.65959,1.23115,0.00588,0,0.000542125,0.000542125,0.000542125
39,794.529,1.05516,1.43513,0.74575,0.00345,0.3745,0.5873,0.58852,0.56999,0.38532,0.58609,0.5994,0.5694,0.35535,1.13548,1.62054,1.2733,0.00591,0,0.00052975,0.00052975,0.00052975
40,814.774,1.05163,1.43435,0.75896,0.00344,0.39037,0.60965,0.61782,0.58386,0.39403,0.61376,0.61909,0.58253,0.36409,1.16359,1.70959,1.23842,0.00611,0,0.000517375,0.000517375,0.000517375
41,835.195,1.04436,1.43105,0.74445,0.00346,0.39297,0.58938,0.67287,0.59691,0.40814,0.59379,0.67405,0.59687,0.37684,1.13969,1.6157,1.16608,0.00598,0,0.000505,0.000505,0.000505
42,855.392,1.0454,1.43095,0.74259,0.00342,0.38017,0.6102,0.65371,0.60326,0.41236,0.62551,0.63593,0.601,0.3847,1.14419,1.62566,1.15633,0.00599,0,0.000492625,0.000492625,0.000492625
43,875.572,1.03477,1.42077,0.72006,0.00341,0.35782,0.62559,0.60016,0.58635,0.39934,0.64112,0.59982,0.59072,0.36368,1.13263,1.6317,1.16627,0.00588,0,0.00048025,0.00048025,0.00048025
44,895.795,1.02129,1.40859,0.71432,0.00339,0.36541,0.58646,0.58562,0.57177,0.38644,0.59327,0.59182,0.57642,0.35852,1.1332,1.62308,1.18094,0.00591,0,0.000467875,0.000467875,0.000467875
45,915.994,1.02045,1.41017,0.71331,0.00334,0.3607,0.59239,0.625,0.57362,0.38009,0.60209,0.62555,0.57628,0.35141,1.15651,1.63947,1.20628,0.00601,0,0.0004555,0.0004555,0.0004555
46,936.193,1.02442,1.40314,0.71089,0.00334,0.36448,0.5615,0.61315,0.55585,0.3777,0.57116,0.61722,0.56302,0.35205,1.13389,1.63326,1.22949,0.00594,0,0.000443125,0.000443125,0.000443125
47,956.39,1.01539,1.39306,0.70166,0.0033,0.34452,0.63365,0.62387,0.59305,0.40375,0.64235,0.63032,0.59951,0.37508,1.13654,1.62919,1.18239,0.00601,0,0.00043075,0.00043075,0.00043075
48,976.519,1.00521,1.38295,0.69684,0.0033,0.35172,0.59354,0.62882,0.56471,0.38181,0.59809,0.63352,0.56699,0.35307,1.14075,1.64217,1.24368,0.00597,0,0.000418375,0.000418375,0.000418375
49,997.007,0.99638,1.38967,0.67841,0.00325,0.34925,0.57435,0.66981,0.59156,0.40405,0.5995,0.63953,0.59421,0.37281,1.13688,1.61828,1.15819,0.00593,0,0.000406,0.000406,0.000406
50,1017.22,0.99701,1.36521,0.68217,0.00326,0.33265,0.573,0.6641,0.58042,0.39261,0.57677,0.66088,0.57819,0.36184,1.13985,1.62888,1.18453,0.00602,0,0.000393625,0.000393625,0.000393625
51,1037.38,0.99841,1.37014,0.6739,0.00326,0.34201,0.56688,0.66583,0.57827,0.39598,0.58104,0.67376,0.58916,0.37244,1.14859,1.61066,1.19913,0.00605,0,0.00038125,0.00038125,0.00038125
52,1057.59,0.99347,1.36842,0.66865,0.0032,0.33768,0.56586,0.66485,0.5801,0.39431,0.57377,0.65949,0.58786,0.37015,1.13645,1.60201,1.14974,0.00596,0,0.000368875,0.000368875,0.000368875
53,1077.67,0.98061,1.34963,0.66365,0.00323,0.32997,0.58179,0.65035,0.57742,0.40131,0.58544,0.65304,0.57906,0.37166,1.13437,1.60689,1.22768,0.00589,0,0.0003565,0.0003565,0.0003565
54,1097.87,0.97675,1.34897,0.65614,0.00323,0.32943,0.57782,0.63073,0.5825,0.39807,0.58862,0.63925,0.58762,0.3714,1.13702,1.60696,1.19356,0.00592,0,0.000344125,0.000344125,0.000344125
