epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1098.94,1.1117,0.92042,0.00386,0.60538,0.61778,0.60374,0.42266,1.02709,0.92928,0.00643,0.00999901,0.003333,0.00999901,0.003333,0.00999901,0.003333,0.00999901,0.003333
2,2774.43,1.00959,0.58354,0.00343,0.60113,0.61374,0.58857,0.41518,1.0435,0.99844,0.00661,0.0199914,0.00666379,0.0199914,0.00666379,0.0199914,0.00666379,0.0199914,0.00666379
3,4311.11,1.00081,0.56163,0.00341,0.59635,0.60908,0.58611,0.41749,1.04633,1.02439,0.00671,0.0299532,0.00998441,0.0299532,0.00998441,0.0299532,0.00998441,0.0299532,0.00998441
4,5943.58,0.95362,0.51185,0.00322,0.60035,0.60545,0.58788,0.42135,1.05143,1.02799,0.00674,0.0298971,0.00996569,0.0298971,0.00996569,0.0298971,0.00996569,0.0298971,0.00996569
5,7485.79,0.90502,0.47139,0.00304,0.60841,0.59841,0.58613,0.42064,1.05541,1.03743,0.00676,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906
6,9003.13,0.87907,0.44865,0.00294,0.59891,0.59744,0.57546,0.41172,1.06074,1.06212,0.00679,0.0297147,0.00990489,0.0297147,0.00990489,0.0297147,0.00990489,0.0297147,0.00990489
7,10643.8,0.86253,0.43594,0.00288,0.60588,0.58938,0.5763,0.41134,1.06432,1.06769,0.00684,0.0295897,0.00986323,0.0295897,0.00986323,0.0295897,0.00986323,0.0295897,0.00986323
8,12169.6,0.85132,0.42591,0.00283,0.59942,0.59746,0.57943,0.41231,1.068,1.06957,0.00688,0.0294425,0.00981415,0.0294425,0.00981415,0.0294425,0.00981415,0.0294425,0.00981415
9,13816.8,0.84488,0.42216,0.00281,0.59048,0.59081,0.57208,0.40715,1.07052,1.07428,0.00689,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773
10,15344.1,0.83859,0.41585,0.00277,0.58723,0.59946,0.57863,0.41142,1.07017,1.06459,0.00684,0.0290821,0.00969405,0.0290821,0.00969405,0.0290821,0.00969405,0.0290821,0.00969405
11,16862.2,0.83375,0.41122,0.00276,0.59537,0.59255,0.5731,0.40578,1.0677,1.06704,0.0068,0.0288696,0.0096232,0.0288696,0.0096232,0.0288696,0.0096232,0.0288696,0.0096232
12,18502.4,0.83114,0.40906,0.00275,0.5878,0.6023,0.57768,0.41003,1.06905,1.07387,0.0068,0.0286359,0.00954531,0.0286359,0.00954531,0.0286359,0.00954531,0.0286359,0.00954531
13,19460.4,0.82738,0.40409,0.00273,0.59218,0.60064,0.57906,0.41142,1.07249,1.07643,0.00685,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048
14,20270.6,0.82573,0.40239,0.00272,0.58698,0.59667,0.57451,0.40778,1.07338,1.08917,0.00686,0.0281066,0.00936886,0.0281066,0.00936886,0.0281066,0.00936886,0.0281066,0.00936886
15,21076.9,0.82408,0.39984,0.00272,0.58878,0.59952,0.57364,0.40614,1.07467,1.09942,0.00687,0.0278117,0.00927057,0.0278117,0.00927057,0.0278117,0.00927057,0.0278117,0.00927057
16,21880.9,0.81992,0.3968,0.00269,0.58465,0.6029,0.57217,0.40452,1.07583,1.10377,0.00691,0.0274973,0.00916577,0.0274973,0.00916577,0.0274973,0.00916577,0.0274973,0.00916577
