epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,86.2032,1.18556,1.70207,0.00482,0.24598,0.17521,0.13713,0.08514,1.23138,1.39365,0.00804,0.000302555,0.000302555,0.000302555
2,164.968,1.12235,1.42387,0.00453,0.31069,0.2014,0.17152,0.10256,1.21976,1.30179,0.00803,0.000604631,0.000604631,0.000604631
3,244.13,1.11558,1.40374,0.00454,0.33167,0.21586,0.18193,0.10462,1.18899,1.27558,0.00766,0.000903018,0.000903018,0.000903018
4,319.852,1.09435,1.35936,0.00442,0.29189,0.24407,0.18995,0.11504,1.18303,1.21881,0.00762,0.000896568,0.000896568,0.000896568
5,396.778,1.08008,1.32258,0.0043,0.27565,0.24348,0.16332,0.10242,1.15156,1.20653,0.00743,0.000886978,0.000886978,0.000886978
6,473.413,1.06087,1.30534,0.00421,0.30108,0.27491,0.17808,0.11097,1.13781,1.15026,0.00741,0.000874749,0.000874749,0.000874749
7,548.51,1.04691,1.28337,0.00418,0.28274,0.23325,0.16082,0.10378,1.14813,1.16486,0.00732,0.000859958,0.000859958,0.000859958
8,628.201,1.03058,1.25957,0.00408,0.31141,0.27586,0.18823,0.12094,1.12564,1.1034,0.00725,0.000842695,0.000842695,0.000842695
9,705.559,1.01118,1.23977,0.00401,0.29685,0.29173,0.18483,0.1189,1.10831,1.10887,0.00699,0.000823066,0.000823066,0.000823066
10,782.222,1.00231,1.22382,0.00397,0.32044,0.26219,0.18137,0.1157,1.09776,1.08642,0.00704,0.000801193,0.000801193,0.000801193
11,858.758,0.99614,1.20471,0.0039,0.32697,0.24452,0.20036,0.12527,1.07627,1.05413,0.0068,0.000777211,0.000777211,0.000777211
12,935.323,0.98382,1.19195,0.00385,0.31833,0.29049,0.19852,0.1276,1.06639,1.05111,0.00678,0.000751267,0.000751267,0.000751267
13,1010.73,0.96667,1.16991,0.00372,0.31061,0.30339,0.20329,0.13533,1.05791,1.03289,0.00667,0.000723522,0.000723522,0.000723522
14,1090.43,0.95331,1.15706,0.00372,0.29793,0.28436,0.18523,0.11974,1.04846,1.03821,0.00663,0.000694146,0.000694146,0.000694146
15,1168.65,0.94494,1.14105,0.00366,0.30928,0.28177,0.1951,0.12533,1.05524,1.01162,0.00662,0.00066332,0.00066332,0.00066332
16,1245.1,0.93045,1.12617,0.00361,0.30922,0.28456,0.19184,0.12478,1.03216,0.99022,0.00648,0.000631235,0.000631235,0.000631235
17,1321.26,0.92602,1.12737,0.00363,0.33558,0.27278,0.197,0.124,1.01688,0.99211,0.00637,0.000598089,0.000598089,0.000598089
18,1397.25,0.90948,1.11025,0.00352,0.33244,0.29533,0.2075,0.13869,1.01107,0.97068,0.00633,0.000564085,0.000564085,0.000564085
