epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,456.796,1.15869,2.45999,0.00476,0.54585,0.58696,0.57359,0.37354,1.07411,1.34755,0.00724,0.0099889,0.00332963,0.0099889,0.00332963,0.0099889,0.00332963,0.0099889,0.00332963
2,908.891,1.08191,0.91637,0.00429,0.59904,0.61605,0.59068,0.3937,1.12031,1.13539,0.00791,0.019984,0.00666134,0.019984,0.00666134,0.019984,0.00666134,0.019984,0.00666134
3,1375.11,1.07886,0.73614,0.00425,0.57763,0.63329,0.56278,0.35394,1.20214,1.13307,0.00857,0.0299596,0.00998654,0.0299596,0.00998654,0.0299596,0.00998654,0.0299596,0.00998654
4,1836.14,1.05819,0.67079,0.00416,0.65913,0.60341,0.5921,0.38634,1.17676,1.1619,0.00815,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803
5,2292.08,0.9939,0.5915,0.00385,0.65724,0.64802,0.61174,0.40916,1.14182,1.04009,0.00815,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097
6,2757.2,0.95303,0.54666,0.00364,0.65146,0.62379,0.60554,0.41528,1.13133,1.11489,0.0079,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906
7,3208.36,0.92522,0.51613,0.00351,0.6539,0.6316,0.60179,0.41458,1.10644,1.04597,0.00771,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232
8,3654.1,0.90581,0.49623,0.00342,0.65926,0.63939,0.61885,0.4208,1.12905,1.07336,0.00792,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079
9,4108.47,0.88943,0.48207,0.00335,0.65249,0.65283,0.60617,0.41315,1.12738,1.10996,0.00786,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449
10,4564.43,0.87622,0.4713,0.00327,0.65242,0.62697,0.60371,0.41144,1.12049,1.1382,0.00783,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345
11,5025.75,0.86516,0.46062,0.00323,0.64767,0.64511,0.60827,0.41625,1.11911,1.1223,0.00782,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773
12,5500.75,0.85575,0.45334,0.00319,0.65218,0.62268,0.60262,0.41455,1.12529,1.12984,0.00782,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736
13,5979.42,0.85079,0.44475,0.00317,0.63786,0.63375,0.60722,0.41705,1.12599,1.15733,0.00791,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239
14,6451.27,0.83978,0.43609,0.00311,0.66929,0.62306,0.60529,0.41575,1.1225,1.15056,0.00785,0.0287787,0.00959289,0.0287787,0.00959289,0.0287787,0.00959289,0.0287787,0.00959289
15,6922.87,0.8371,0.43231,0.0031,0.65576,0.6359,0.61189,0.41901,1.13019,1.14324,0.00784,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889
16,7418.18,0.83045,0.42766,0.00307,0.64977,0.6381,0.61017,0.41945,1.13054,1.15618,0.00787,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048
17,7897.38,0.8214,0.41971,0.00303,0.64571,0.64158,0.60729,0.41622,1.12825,1.17411,0.00788,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772
18,8416.35,0.81915,0.41709,0.00301,0.65397,0.63553,0.60604,0.41506,1.1279,1.17771,0.00789,0.027932,0.00931067,0.027932,0.00931067,0.027932,0.00931067,0.027932,0.00931067
