epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,640.729,1.14366,2.27663,0.00477,0.58014,0.57422,0.56828,0.37043,1.09142,1.22751,0.00755,0.00999213,0.00333071,0.00999213,0.00333071,0.00999213,0.00333071,0.00999213,0.00333071
2,1301.14,1.04541,0.79208,0.00418,0.56446,0.64171,0.5867,0.39284,1.10251,1.09967,0.00766,0.0199872,0.00666241,0.0199872,0.00666241,0.0199872,0.00666241,0.0199872,0.00666241
3,1965.43,1.02774,0.66904,0.00406,0.63141,0.6037,0.6009,0.38308,1.21138,1.12604,0.00854,0.0299628,0.00998761,0.0299628,0.00998761,0.0299628,0.00998761,0.0299628,0.00998761
4,2628.96,0.99743,0.6168,0.00396,0.65056,0.61932,0.59837,0.40652,1.12019,1.07684,0.00794,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803
5,3289.8,0.93143,0.54256,0.00362,0.65007,0.61714,0.60708,0.41446,1.12191,1.11587,0.008,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097
6,3949.1,0.89221,0.4981,0.00342,0.66488,0.62648,0.61128,0.41917,1.10761,1.10073,0.00776,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906
7,4610.8,0.86555,0.4731,0.0033,0.67572,0.63341,0.61361,0.423,1.11533,1.10745,0.00783,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232
8,5265.82,0.84831,0.45419,0.0032,0.67593,0.6335,0.61563,0.42569,1.10104,1.11383,0.00773,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079
9,5917.91,0.83106,0.43998,0.00313,0.66933,0.6298,0.6083,0.42298,1.10602,1.15392,0.00772,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449
10,6567.78,0.82027,0.43056,0.00308,0.66923,0.62577,0.59991,0.41841,1.10516,1.17081,0.00772,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345
11,7218.02,0.80963,0.42212,0.00304,0.68489,0.62047,0.60194,0.42054,1.10398,1.16854,0.00771,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773
12,7872.38,0.80455,0.41731,0.003,0.66603,0.64063,0.60181,0.41905,1.11019,1.16642,0.00783,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736
13,8521.28,0.79885,0.41046,0.00298,0.67837,0.63322,0.60314,0.42151,1.1095,1.17257,0.00776,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239
14,9177.43,0.7921,0.40683,0.00295,0.68303,0.63062,0.60394,0.42095,1.10783,1.17964,0.00775,0.0287787,0.00959289,0.0287787,0.00959289,0.0287787,0.00959289,0.0287787,0.00959289
15,9836.57,0.78776,0.40164,0.00292,0.68328,0.63007,0.60029,0.41859,1.10731,1.18441,0.00775,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889
16,10485.6,0.78528,0.39854,0.00291,0.67918,0.63317,0.6034,0.42051,1.10899,1.18808,0.00776,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048
17,11136.7,0.7818,0.397,0.00291,0.68611,0.62282,0.60089,0.41577,1.11089,1.19362,0.00777,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772
18,11785.4,0.7776,0.39125,0.00287,0.6848,0.62431,0.60131,0.41902,1.11102,1.19375,0.00777,0.027932,0.00931067,0.027932,0.00931067,0.027932,0.00931067,0.027932,0.00931067
19,12435.4,0.77566,0.38882,0.00286,0.68127,0.62518,0.59648,0.41535,1.11112,1.19544,0.00776,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942
20,13081.2,0.77155,0.3862,0.00285,0.68044,0.62234,0.59629,0.41449,1.1125,1.19537,0.00777,0.0274321,0.00914405,0.0274321,0.00914405,0.0274321,0.00914405,0.0274321,0.00914405
21,13718.5,0.76769,0.38274,0.00284,0.68496,0.61932,0.59737,0.41455,1.11238,1.19394,0.00777,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463
22,14357.2,0.76243,0.38052,0.00281,0.68981,0.61454,0.59673,0.41464,1.11352,1.19525,0.00779,0.0268838,0.00896127,0.0268838,0.00896127,0.0268838,0.00896127,0.0268838,0.00896127
23,15002.9,0.76499,0.38162,0.00282,0.68879,0.61303,0.59691,0.41447,1.11564,1.1971,0.00781,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404
24,15644.9,0.75923,0.37627,0.00279,0.68682,0.61633,0.59649,0.41438,1.11665,1.19694,0.00781,0.0262891,0.00876305,0.0262891,0.00876305,0.0262891,0.00876305,0.0262891,0.00876305
25,16289.2,0.75899,0.37637,0.00279,0.68425,0.62093,0.59496,0.41386,1.11576,1.19514,0.0078,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839
26,16933.7,0.75442,0.37142,0.00278,0.68241,0.61978,0.59449,0.41353,1.11693,1.197,0.00781,0.0256505,0.00855018,0.0256505,0.00855018,0.0256505,0.00855018,0.0256505,0.00855018
27,17589.2,0.75153,0.37169,0.00276,0.67648,0.62174,0.59212,0.41186,1.11859,1.20039,0.00782,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851
28,18235.6,0.75023,0.36853,0.00276,0.67446,0.62224,0.58995,0.41034,1.12032,1.20161,0.00785,0.0249705,0.00832349,0.0249705,0.00832349,0.0249705,0.00832349,0.0249705,0.00832349
